Country,State,Year,City,"Pradhan Mantri Awas Yojana (Pmay) Investment Amount (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Central Assistance Sanctioned (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Central Assistance Released (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Houses Sanctioned (UOM:Number), Scaling Factor:1","Pradhan Mantri Awas Yojana (Pmay) Houses Grounded (UOM:Number), Scaling Factor:1","Pradhan Mantri Awas Yojana (Pmay) Houses Completed (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Nandikotkuru, Municipality",116.4700000000000000,45.2500000000000000,30.2000000000000000,2998.0000000000000000,2245.0000000000000000,1592.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Nandyal, Municipality",1066.1700000000000000,265.2800000000000000,186.4000000000000000,17352.0000000000000000,13365.0000000000000000,13108.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Narasapur, Municipality",82.3800000000000000,35.6700000000000000,48.0000000000000000,2358.0000000000000000,2240.0000000000000000,870.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Narasaraopeta, Municipality",452.8300000000000000,135.8100000000000000,66.3300000000000000,8757.0000000000000000,8106.0000000000000000,4227.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Narsipatnam, Municipality",236.1000000000000000,71.7700000000000000,72.6600000000000000,4746.0000000000000000,4470.0000000000000000,3436.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Nellimarla, Town Panchayat",85.5400000000000000,24.9400000000000000,29.3000000000000000,1653.0000000000000000,1564.0000000000000000,1123.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Nellore Development Authority,1900.3800000000000000,755.1300000000000000,515.3000000000000000,50302.000000000000,48094.000000000000,15555.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Nellore, Municipal Corporation",3289.6600000000000000,799.7600000000000000,612.3700000000000000,51760.000000000000,49931.000000000000,40922.000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Nidadavole, Municipality",216.4700000000000000,68.6100000000000000,50.5300000000000000,4532.0000000000000000,4412.0000000000000000,2336.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Nuzvid, Municipality",341.9600000000000000,87.1400000000000000,82.9600000000000000,5770.0000000000000000,5499.0000000000000000,3974.0000000000000000
